id,pid,url,host,keywords,label
1,-1,http://www.sina.com.cn/,www.sina.com.cn,,新浪网
2,1,http://news.sina.com.cn/,news.sina.com.cn,,新闻
3,2,http://news.sina.com.cn/china/,news.sina.com.cn,china,国内
4,2,http://news.sina.com.cn/world/,news.sina.com.cn,world,国际
5,2,http://news.sina.com.cn/society/,news.sina.com.cn,society,社会
6,2,http://mil.news.sina.com.cn/,mil.news.sina.com.cn,,军事
7,2,http://video.sina.com.cn/news/,video.sina.com.cn,news,新闻视频
8,2,http://news.sina.com.cn/report/,news.sina.com.cn,report,深度报道
9,2,http://news.sina.com.cn/opinion/,news.sina.com.cn,opinion,评论
10,2,http://photo.sina.com.cn/,photo.sina.com.cn,,图片
11,2,http://roll.news.sina.com.cn/chart/index.shtml,roll.news.sina.com.cn,chart,图解
12,2,http://sky.news.sina.com.cn/,sky.news.sina.com.cn,,航空
13,2,http://weather.sina.com.cn/,weather.sina.com.cn,,天气
14,2,http://news.sina.com.cn/media/,news.sina.com.cn,media,传媒
15,2,http://roll.news.sina.com.cn/plannings/index.shtml,roll.news.sina.com.cn,plannings,新观察
16,2,http://slide.photo.sina.com.cn/,slide.photo.sina.com.cn,,高清图
17,2,http://roll.news.sina.com.cn/s/channel.php?ch=01,roll.news.sina.com.cn,s|channel,滚动
18,2,http://news.sina.com.cn/hotnews/,news.sina.com.cn,hotnews,排行
19,2,http://news.sina.com.cn/zt/,news.sina.com.cn,zt,专题
20,2,http://survey.news.sina.com.cn/,survey.news.sina.com.cn,,调查
21,2,http://search.sina.com.cn/,search.sina.com.cn,,新闻搜索
22,1,http://sports.sina.com.cn/,sports.sina.com.cn,,体育
23,22,http://sports.sina.com.cn/nba/,sports.sina.com.cn,nba,NBA
24,22,http://sports.sina.com.cn/cba/,sports.sina.com.cn,cba,CBA
25,22,http://sports.sina.com.cn/global/,sports.sina.com.cn,global,国际足球
26,22,http://sports.sina.com.cn/g/premierleague/,sports.sina.com.cn,g|premierleague,英超
27,22,http://sports.sina.com.cn/g/laliga/,sports.sina.com.cn,g|laliga,西甲
28,22,http://sports.sina.com.cn/g/seriea/,sports.sina.com.cn,g|seriea,意甲
29,22,http://sports.sina.com.cn/g/championsleague/,sports.sina.com.cn,g|championsleague,欧冠
30,22,http://sports.sina.com.cn/china/,sports.sina.com.cn,china,中国足球
31,22,http://sports.sina.com.cn/csl/,sports.sina.com.cn,csl,中超
32,22,http://sports.sina.com.cn/others/,sports.sina.com.cn,others,综合体育
33,22,http://sports.sina.com.cn/tennis/,sports.sina.com.cn,tennis,网球
34,22,http://sports.sina.com.cn/chess/,sports.sina.com.cn,chess,棋牌
35,22,http://golf.sina.com.cn/,golf.sina.com.cn,,高尔夫
36,22,http://sports.sina.com.cn/lottery/,sports.sina.com.cn,lottery,彩票
37,22,http://f1.sina.com.cn/,f1.sina.com.cn,,F1赛车
38,22,http://sports.sina.com.cn/outdoor/,sports.sina.com.cn,outdoor,户外
39,22,http://sports.sina.com.cn/hdphoto/,sports.sina.com.cn,hdphoto,高清图
40,22,http://sports.sina.com.cn/gossip/,sports.sina.com.cn,gossip,体育花絮
41,22,http://sports.sina.com.cn/bn/,sports.sina.com.cn,bn,体育视频
42,22,http://match.sports.sina.com.cn/livecast/,match.sports.sina.com.cn,livecast,直播
43,1,http://ent.sina.com.cn/,ent.sina.com.cn,,娱乐
44,43,http://ent.sina.com.cn/gossip/,ent.sina.com.cn,gossip,八卦
45,43,http://ent.sina.com.cn/star/,ent.sina.com.cn,star,明星
46,43,http://ent.sina.com.cn/film/,ent.sina.com.cn,film,电影
47,43,http://ent.sina.com.cn/tv/,ent.sina.com.cn,tv,电视
48,43,http://yue.sina.com.cn/,yue.sina.com.cn,,音乐
49,43,http://ent.sina.com.cn/xiju/,ent.sina.com.cn,xiju,戏剧
50,43,http://blog.sina.com.cn/lm/ent/,blog.sina.com.cn,lm|ent,博客
51,43,http://ent.sina.com.cn/zl/,ent.sina.com.cn,zl,专栏
52,43,http://ent.sina.com.cn/korea/,ent.sina.com.cn,korea,韩娱
53,43,http://ent.sina.com.cn/jp/,ent.sina.com.cn,jp,日娱
54,43,http://dafen.ent.sina.com.cn/,dafen.ent.sina.com.cn,,影视打分
55,43,http://ent.sina.com.cn/photo/,ent.sina.com.cn,photo,高清图库
56,43,http://data.ent.sina.com.cn/index.html,data.ent.sina.com.cn,,资料库
57,43,http://yingxun.ent.sina.com.cn/,yingxun.ent.sina.com.cn,,影讯
58,43,http://tvguide.ent.sina.com.cn/,tvguide.ent.sina.com.cn,,电视节目
59,43,http://data.ent.sina.com.cn/show/index.php,data.ent.sina.com.cn,show,演出订票
60,43,http://ent.sina.com.cn/bn/,ent.sina.com.cn,bn,视频
61,43,http://ent.sina.com.cn/bn/entreport/,ent.sina.com.cn,bn|entreport,娱乐快报
62,43,http://ent.sina.com.cn/zt/,ent.sina.com.cn,zt,专题
63,1,http://finance.sina.com.cn/,finance.sina.com.cn,,财经
64,63,http://finance.sina.com.cn/stock/,finance.sina.com.cn,stock,股票
65,63,http://finance.sina.com.cn/stock/hkstock/,finance.sina.com.cn,stock|hkstock,港股
66,63,http://finance.sina.com.cn/stock/usstock/,finance.sina.com.cn,stock|usstock,美股
67,63,http://guba.sina.com.cn/,guba.sina.com.cn,,股吧
68,63,http://vip.stock.finance.sina.com.cn/portfolio/main.php,vip.stock.finance.sina.com.cn,portfolio|main,自选股
69,63,http://vip.stock.finance.sina.com.cn/mkt/,vip.stock.finance.sina.com.cn,mkt,行情
70,63,http://finance.sina.com.cn/fund/,finance.sina.com.cn,fund,基金
71,63,http://finance.sina.com.cn/futuremarket/,finance.sina.com.cn,futuremarket,期货
72,63,http://finance.sina.com.cn/forex/,finance.sina.com.cn,forex,外汇
73,63,http://finance.sina.com.cn/nmetal/,finance.sina.com.cn,nmetal,黄金
74,63,http://finance.sina.com.cn/bond/,finance.sina.com.cn,bond,债券
75,63,http://finance.sina.com.cn/money/,finance.sina.com.cn,money,理财
76,63,http://finance.sina.com.cn/money/bank/,finance.sina.com.cn,money|bank,银行
77,63,http://finance.sina.com.cn/money/insurance/,finance.sina.com.cn,money|insurance,保险
78,63,http://finance.sina.com.cn/trust/,finance.sina.com.cn,trust,信托
79,63,http://finance.sina.com.cn/zl/,finance.sina.com.cn,zl,专栏
80,63,http://blog.sina.com.cn/lm/finance/,blog.sina.com.cn,lm|finance,博客
81,63,http://finance.sina.com.cn/meeting/,finance.sina.com.cn,meeting,会议
82,63,http://finance.sina.com.cn/chanjing/,finance.sina.com.cn,chanjing,产经
83,63,http://finance.sina.com.cn/consume/,finance.sina.com.cn,consume,消费
84,1,http://tech.sina.com.cn/,tech.sina.com.cn,,科技
85,84,http://tech.sina.com.cn/internet/,tech.sina.com.cn,internet,互联网
86,84,http://tech.sina.com.cn/zl/,tech.sina.com.cn,zl,创事记
87,84,http://tech.sina.com.cn/tele/,tech.sina.com.cn,tele,电信
88,84,http://tech.sina.com.cn/it/,tech.sina.com.cn,it,IT业界
89,84,http://tech.sina.com.cn/elec/,tech.sina.com.cn,elec,家电
90,84,http://blog.sina.com.cn/lm/tech/,blog.sina.com.cn,lm|tech,IT博客
91,84,http://tech.sina.com.cn/startup/,tech.sina.com.cn,startup,硅谷新视野
92,84,http://mobile.sina.com.cn/,mobile.sina.com.cn,,手机
93,84,http://tech.sina.com.cn/apple/,tech.sina.com.cn,apple,苹果汇
94,84,http://digi.sina.com.cn/,digi.sina.com.cn,,数码
95,84,http://tech.sina.com.cn/notebook/,tech.sina.com.cn,notebook,笔记本
96,84,http://tech.sina.com.cn/pad/,tech.sina.com.cn,pad,平板
97,84,http://tech.sina.com.cn/digital/,tech.sina.com.cn,digital,相机
98,84,http://tech.sina.com.cn/t/4g/,tech.sina.com.cn,,4G
99,84,http://tech.sina.com.cn/discovery/,tech.sina.com.cn,discovery,探索
100,84,http://tech.sina.com.cn/d/photo/,tech.sina.com.cn,d|photo,趣图
101,84,http://club.tech.sina.com.cn/,club.tech.sina.com.cn,,社区
102,84,http://tech.sina.com.cn/mobile/techtravels/,tech.sina.com.cn,mobile|techtravels,浪游记
103,84,http://tech.sina.com.cn/down/,tech.sina.com.cn,down,软件下载
104,84,http://tech.sina.com.cn/smart/,tech.sina.com.cn,smart,智能家居
105,84,http://roll.tech.sina.com.cn/s/channel.php?ch=05,roll.tech.sina.com.cn,s|channel,滚动
106,1,http://zhuanlan.sina.com.cn/,zhuanlan.sina.com.cn,,专栏
107,106,http://news.sina.com.cn/zl/,news.sina.com.cn,zl,观察家
108,106,http://history.sina.com.cn/zl/,history.sina.com.cn,zl,新史记
109,106,http://finance.sina.com.cn/zl/,finance.sina.com.cn,zl,意见领袖
110,106,http://tech.sina.com.cn/zl/,tech.sina.com.cn,zl,创事记
111,106,http://ent.sina.com.cn/zl/,ent.sina.com.cn,zl,水煮娱
112,106,http://sports.sina.com.cn/zl/,sports.sina.com.cn,zl,竞技场
113,106,http://fashion.sina.com.cn/zl/,fashion.sina.com.cn,zl,风尚标
114,106,http://edu.sina.com.cn/zl/,edu.sina.com.cn,zl,爱生活
115,106,http://photo.sina.com.cn/zl/,photo.sina.com.cn,zl,品图
116,106,http://book.sina.com.cn/zl/,book.sina.com.cn,zl,悦读汇
117,106,http://zhuanlan.sina.com.cn/author/,zhuanlan.sina.com.cn,author,作者名录
